frame,shin.R__head_x,shin.R__head_y,shin.R__head_z,shin.R__tail_x,shin.R__tail_y,shin.R__tail_z,thigh.R__head_x,thigh.R__head_y,thigh.R__head_z,thigh.R__tail_x,thigh.R__tail_y,thigh.R__tail_z,shin.L__head_x,shin.L__head_y,shin.L__head_z,shin.L__tail_x,shin.L__tail_y,shin.L__tail_z,thigh.L__head_x,thigh.L__head_y,thigh.L__head_z,thigh.L__tail_x,thigh.L__tail_y,thigh.L__tail_z,spine__head_x,spine__head_y,spine__head_z,spine__tail_x,spine__tail_y,spine__tail_z,spine.006__head_x,spine.006__head_y,spine.006__head_z,spine.006__tail_x,spine.006__tail_y,spine.006__tail_z,upper_arm.R__head_x,upper_arm.R__head_y,upper_arm.R__head_z,upper_arm.R__tail_x,upper_arm.R__tail_y,upper_arm.R__tail_z,forearm.R__head_x,forearm.R__head_y,forearm.R__head_z,forearm.R__tail_x,forearm.R__tail_y,forearm.R__tail_z,upper_arm.L__head_x,upper_arm.L__head_y,upper_arm.L__head_z,upper_arm.L__tail_x,upper_arm.L__tail_y,upper_arm.L__tail_z,forearm.L__head_x,forearm.L__head_y,forearm.L__head_z,forearm.L__tail_x,forearm.L__tail_y,forearm.L__tail_z
11,-0.03267741575837135,-0.008976414799690247,0.029082000255584717,-0.042012184858322144,-0.0006967365043237805,0.009382504038512707,-0.023198291659355164,0.0035054655745625496,0.04150572419166565,-0.03267742320895195,-0.008976418524980545,0.02908199280500412,0.04596969112753868,-0.015679478645324707,0.022010790184140205,0.05710747838020325,0.0004569296143017709,0.009388219565153122,0.03571902588009834,-0.00676957331597805,0.036691971123218536,0.04596969857811928,-0.015679484233260155,0.02201078273355961,0.007514036260545254,0.0037120541092008352,0.04303589463233948,0.008640900254249573,0.0015532693360000849,0.06143596023321152,0.012857910245656967,-0.020046047866344452,0.14327959716320038,0.014173650182783604,-0.026567384600639343,0.16375702619552612,-0.04082763195037842,-0.00695058424025774,0.11432427167892456,-0.0408487431704998,-0.03506990894675255,0.0934842973947525,-0.0408487468957901,-0.03506989777088165,0.0934843122959137,-0.020082294940948486,-0.05662450194358826,0.09552212804555893,0.06169535219669342,-0.013687165454030037,0.10470394045114517,0.08109741657972336,-0.0320931077003479,0.08212558925151825,0.08109740167856216,-0.0320931002497673,0.08212560415267944,0.06712368130683899,-0.055778227746486664,0.09411510825157166
12,-0.03269529342651367,-0.008211958222091198,0.029382918030023575,-0.04199531301856041,-0.0006461134762503207,0.009382214397192001,-0.02296709083020687,0.003560875542461872,0.042296577244997025,-0.03269530087709427,-0.008211961947381496,0.029382910579442978,0.04600518196821213,-0.015707286074757576,0.022008370608091354,0.05712109059095383,0.00044603191781789064,0.00938812643289566,0.03581254556775093,-0.007247809320688248,0.036993272602558136,0.046005185693502426,-0.015707289800047874,0.022008363157510757,0.0077581871300935745,0.0035003055818378925,0.04355544224381447,0.009028545580804348,0.0013829364906996489,0.06195097416639328,0.014032505452632904,-0.018921058624982834,0.1441417634487152,0.015430519357323647,-0.024938514456152916,0.16476748883724213,-0.039918310940265656,-0.006521811243146658,0.11538296192884445,-0.03907492756843567,-0.03582954779267311,0.09626888483762741,-0.03907492384314537,-0.03582952916622162,0.0962688997387886,-0.020254096016287804,-0.05918336659669876,0.09688083827495575,0.06270597130060196,-0.014888984151184559,0.10505718737840652,0.08056638389825821,-0.03640531003475189,0.08400831371545792,0.08056636899709702,-0.036405298858881,0.08400832861661911,0.0667908787727356,-0.06050406023859978,0.09538745880126953
13,-0.03264210373163223,-0.007609436754137278,0.029814355075359344,-0.04196106269955635,-0.0007383162155747414,0.009573184885084629,-0.022696562111377716,0.003631365019828081,0.0430329293012619,-0.03264211118221283,-0.007609440013766289,0.029814347624778748,0.04607287794351578,-0.015837566927075386,0.02190815471112728,0.05714048445224762,0.0004265671595931053,0.009388183243572712,0.03589432314038277,-0.007896509021520615,0.037183504551649094,0.046072881668806076,-0.015837570652365685,0.021908147260546684,0.008038393221795559,0.0032355051953345537,0.04394788667559624,0.009493167512118816,0.0012924440670758486,0.062348999083042145,0.015270784497261047,-0.017667226493358612,0.1448603719472885,0.016745151951909065,-0.02317024953663349,0.1656239926815033,-0.03887046501040459,-0.00566426245495677,0.11628887057304382,-0.03753029182553291,-0.03608864173293114,0.09903886169195175,-0.03753029182553291,-0.03608862683176994,0.09903887659311295,-0.020968671888113022,-0.061092808842659,0.09832938015460968,0.06369893252849579,-0.016249537467956543,0.10529974102973938,0.07960998266935349,-0.040790192782878876,0.0860748365521431,0.07960997521877289,-0.04079017788171768,0.08607485145330429,0.06574308127164841,-0.06516753137111664,0.09672627598047256
14,-0.03254630044102669,-0.007119390182197094,0.030295707285404205,-0.0419345498085022,-0.0009325934806838632,0.009866705164313316,-0.022396955639123917,0.0037475924473255873,0.04367104545235634,-0.03254630044102669,-0.00711939437314868,0.030295703560113907,0.046160537749528885,-0.016052525490522385,0.021711718291044235,0.05716051906347275,0.000406396109610796,0.009388232603669167,0.03594490885734558,-0.008705965243279934,0.03725741431117058,0.04616054147481918,-0.016052527353167534,0.02171171084046364,0.008339145220816135,0.0029364386573433876,0.04418616369366646,0.01001502014696598,0.0013049612753093243,0.06259872764348984,0.016556693241000175,-0.016228346154093742,0.1454101800918579,0.01811124198138714,-0.021195167675614357,0.16630274057388306,-0.03771296888589859,-0.004343151580542326,0.11701947450637817,-0.036264512687921524,-0.03579946979880333,0.10174190253019333,-0.036264508962631226,-0.03579945117235184,0.10174191743135452,-0.022215431556105614,-0.06224473565816879,0.09993363916873932,0.06462045013904572,-0.01770801842212677,0.1054191142320633,0.07815847545862198,-0.045048948377370834,0.08826693892478943,0.07815847545862198,-0.04504893720149994,0.08826695382595062,0.06394921988248825,-0.06954991072416306,0.09815626591444016
15,-0.03243458271026611,-0.006660677492618561,0.03073294460773468,-0.041909780353307724,-0.0011014139745384455,0.010164161212742329,-0.022071443498134613,0.0039062269497662783,0.04418455809354782,-0.03243459016084671,-0.006660682149231434,0.030732937157154083,0.04625818505883217,-0.016320476308465004,0.021437587216496468,0.05717485398054123,0.00039483909495174885,0.009388173930346966,0.03596813604235649,-0.009620057418942451,0.037224266678094864,0.04625818505883217,-0.016320478171110153,0.02143758349120617,0.008652808144688606,0.0026237075217068195,0.04426658898591995,0.010581742972135544,0.0014216189738363028,0.06268741190433502,0.017884083092212677,-0.014627262949943542,0.1457698792219162,0.019532082602381706,-0.01904158480465412,0.16677899658679962,-0.03646673262119293,-0.0026362710632383823,0.1175563633441925,-0.03526388108730316,-0.035004086792469025,0.10429439693689346,-0.03526388481259346,-0.035004064440727234,0.10429441183805466,-0.02386750467121601,-0.06263230741024017,0.10168635845184326,0.06543952226638794,-0.019190793856978416,0.1054171770811081,0.076242595911026,-0.04895467311143875,0.09050385653972626,0.076242595911026,-0.04895465448498726,0.09050387144088745,0.061515867710113525,-0.07343713194131851,0.09965434670448303
16,-0.032293207943439484,-0.006252630613744259,0.0311008021235466,-0.041836947202682495,-0.0012107092188671231,0.010430639609694481,-0.02172974869608879,0.0040724086575210094,0.04458438232541084,-0.03229321539402008,-0.006252634339034557,0.031100794672966003,0.04633891209959984,-0.016635440289974213,0.02112729288637638,0.05713731050491333,0.00039284140802919865,0.009414204396307468,0.03597605600953102,-0.010567771270871162,0.03712086379528046,0.04633891209959984,-0.016635442152619362,0.021127285435795784,0.008968549780547619,0.002307124901562929,0.044224586337804794,0.011174534447491169,0.0016138730570673943,0.06264049559831619,0.019239159300923347,-0.012961845844984055,0.14594943821430206,0.021000973880290985,-0.016827814280986786,0.1670571267604828,-0.03516105189919472,-0.000705295242369175,0.11791649460792542,-0.03448916971683502,-0.03382543474435806,0.1066201850771904,-0.03448916971683502,-0.03382541984319687,0.10662019997835159,-0.02574154920876026,-0.062354955822229385,0.10353077948093414,0.0661410242319107,-0.02063901722431183,0.10531856119632721,0.07397279888391495,-0.052329134196043015,0.09269312024116516,0.07397279143333435,-0.05232911556959152,0.09269314259290695,0.05864245444536209,-0.07668675482273102,0.10115987062454224
17,-0.03243456035852432,-0.006660685408860445,0.030732978135347366,-0.041909754276275635,-0.0011014073388651013,0.01016419567167759,-0.02207142673432827,0.0039062488358467817,0.04418457671999931,-0.03243456408381462,-0.006660688668489456,0.03073297254741192,0.046258196234703064,-0.016320496797561646,0.021437617018818855,0.05717484652996063,0.0003948316443711519,0.009388195350766182,0.03596815466880798,-0.00962003879249096,0.03722427412867546,0.04625819995999336,-0.016320498660206795,0.02143760956823826,0.008652826771140099,0.0026237289421260357,0.04426660016179085,0.010581765323877335,0.0014216492418199778,0.06268741935491562,0.017884111031889915,-0.014627201482653618,0.1457699090242386,0.019532112404704094,-0.019041510298848152,0.16677901148796082,-0.03646668419241905,-0.0026362091302871704,0.11755629628896713,-0.035263825207948685,-0.035004034638404846,0.10429435223340988,-0.035263825207948685,-0.035004012286663055,0.10429436713457108,-0.023867441341280937,-0.06263226270675659,0.10168634355068207,0.06543942540884018,-0.019190704450011253,0.10541697591543198,0.07624251395463943,-0.04895453527569771,0.09050358086824417,0.07624251395463943,-0.048954520374536514,0.09050359576940536,0.06151590123772621,-0.07343705743551254,0.09965410083532333
18,-0.032293204218149185,-0.00625261478126049,0.031100789085030556,-0.04183691740036011,-0.0012106753420084715,0.010430613532662392,-0.021729763597249985,0.004072410985827446,0.04458438977599144,-0.03229321166872978,-0.006252618506550789,0.031100783497095108,0.046338897198438644,-0.01663539558649063,0.02112729288637638,0.05713725835084915,0.0003929107915610075,0.00941420253366232,0.035976048558950424,-0.010567758232355118,0.03712087869644165,0.04633890092372894,-0.01663539744913578,0.021127285435795784,0.008968536742031574,0.0023071328178048134,0.04422460123896599,0.011174519546329975,0.0016138788778334856,0.06264051049947739,0.019239136949181557,-0.012961852364242077,0.14594945311546326,0.021000949665904045,-0.016827823594212532,0.16705714166164398,-0.03516106680035591,-0.000705295242369175,0.11791647970676422,-0.03448916971683502,-0.03382543474435806,0.1066201701760292,-0.03448917344212532,-0.03382541611790657,0.1066201850771904,-0.025741534307599068,-0.06235494092106819,0.10353077203035355,0.06614100188016891,-0.02063901722431183,0.105318583548069,0.07397277653217316,-0.052329134196043015,0.09269315004348755,0.07397276908159256,-0.05232911556959152,0.09269316494464874,0.05864242836833,-0.07668673992156982,0.10115990042686462
19,-0.03213266655802727,-0.0059379576705396175,0.03137562796473503,-0.041755709797143936,-0.0012710976880043745,0.01065422035753727,-0.021368220448493958,0.0041973344050347805,0.04484420642256737,-0.032132670283317566,-0.005937960464507341,0.03137562423944473,0.04644828289747238,-0.016968216747045517,0.02077803574502468,0.057133544236421585,0.00038585811853408813,0.00944553129374981,0.036002445966005325,-0.011485083028674126,0.03692793473601341,0.04644829034805298,-0.016968220472335815,0.020778028294444084,0.00929308868944645,0.0019860626198351383,0.04405321925878525,0.011788954958319664,0.001832960406318307,0.06244451925158501,0.020615603774785995,-0.011368243023753166,0.14592275023460388,0.022513845935463905,-0.014718371443450451,0.16710664331912994,-0.03381546586751938,0.0012646904215216637,0.11808469891548157,-0.03388546034693718,-0.03242582455277443,0.10860070586204529,-0.03388546034693718,-0.03242580592632294,0.10860072076320648,-0.027641337364912033,-0.06158439442515373,0.10531636327505112,0.06674251705408096,-0.022020917385816574,0.10509137809276581,0.07151955366134644,-0.05509034916758537,0.09467053413391113,0.07151955366134644,-0.05509033054113388,0.09467054158449173,0.055575452744960785,-0.07925955951213837,0.10252119600772858
20,-0.03197122737765312,-0.0057265255600214005,0.03156178444623947,-0.04167080298066139,-0.0012778535019606352,0.010828068479895592,-0.021015742793679237,0.0042630392126739025,0.044985122978687286,-0.03197123110294342,-0.005726528819650412,0.03156178072094917,0.046561822295188904,-0.017255419865250587,0.020385868847370148,0.05711789429187775,0.0004232032224535942,0.009440528228878975,0.03604656830430031,-0.012309376150369644,0.036663636565208435,0.0465618260204792,-0.017255421727895737,0.0203858595341444,0.009603038430213928,0.001676557119935751,0.04378857836127281,0.012386755086481571,0.002049025846645236,0.06213536858558655,0.02196536399424076,-0.009946681559085846,0.14572246372699738,0.024019774049520493,-0.012839650735259056,0.16695909202098846,-0.03248501196503639,0.0031499704346060753,0.11810377985239029,-0.03345150128006935,-0.030929535627365112,0.11018825322389603,-0.03345149755477905,-0.03092951327562332,0.11018826067447662,-0.02945752441883087,-0.06048371270298958,0.1069328710436821,0.06723647564649582,-0.023303475230932236,0.10474378615617752,0.06901580840349197,-0.05722960829734802,0.09632629156112671,0.06901580840349197,-0.05722958594560623,0.09632629156112671,0.052494145929813385,-0.0811808705329895,0.10363180935382843
